Classe,fi,fri (%),Fi,Fri (%)
"[85.0, 132.091)",12,1.61,12,1.61
"[132.091, 179.183)",61,8.18,73,9.79
"[179.183, 226.274)",242,32.44,315,42.23
"[226.274, 273.366)",233,31.23,548,73.46
"[273.366, 320.457)",140,18.77,688,92.23
"[320.457, 367.548)",37,4.96,725,97.18
"[367.548, 414.64)",12,1.61,737,98.79
"[414.64, 461.731)",2,0.27,739,99.06
"[461.731, 508.822)",3,0.4,742,99.46
"[508.822, 555.914)",2,0.27,744,99.73
"[555.914, 603.005)",2,0.27,746,100.0
