Classe,fi,fri (%),Fi,Fri (%)
"[-2.6, -1.8)",2,0.22,2,0.22
"[-1.8, -1.0)",4,0.44,6,0.65
"[-1.0, -0.2)",5,0.54,11,1.2
"[-0.2, 0.6)",461,50.22,472,51.42
"[0.6, 1.4)",171,18.63,643,70.04
"[1.4, 2.2)",182,19.83,825,89.87
"[2.2, 3.0)",65,7.08,890,96.95
"[3.0, 3.8)",14,1.53,904,98.47
"[3.8, 4.6)",11,1.2,915,99.67
"[4.6, 5.4)",1,0.11,916,99.78
"[5.4, 6.2)",2,0.22,918,100.0
