Classe,fi,fri (%),Fi,Fri (%)
"[60.0, 72.909)",8,0.87,8,0.87
"[72.909, 85.818)",12,1.31,20,2.18
"[85.818, 98.728)",44,4.79,64,6.97
"[98.728, 111.637)",89,9.69,153,16.67
"[111.637, 124.546)",149,16.23,302,32.9
"[124.546, 137.455)",149,16.23,451,49.13
"[137.455, 150.365)",189,20.59,640,69.72
"[150.365, 163.274)",132,14.38,772,84.1
"[163.274, 176.183)",96,10.46,868,94.55
"[176.183, 189.092)",44,4.79,912,99.35
"[189.092, 202.001)",6,0.65,918,100.0
