Classe,fi,fri (%),Fi,Fri (%)
"[80.0, 90.909)",1,0.11,1,0.11
"[90.909, 101.818)",27,2.94,28,3.05
"[101.818, 112.728)",97,10.58,125,13.63
"[112.728, 123.637)",181,19.74,306,33.37
"[123.637, 134.546)",224,24.43,530,57.8
"[134.546, 145.455)",209,22.79,739,80.59
"[145.455, 156.364)",81,8.83,820,89.42
"[156.364, 167.274)",57,6.22,877,95.64
"[167.274, 178.183)",20,2.18,897,97.82
"[178.183, 189.092)",13,1.42,910,99.24
"[189.092, 200.001)",7,0.76,917,100.0
